"spp_name","trait_name","value","unit","comment","kind","source"
"Claoxylon carolinianum","Wood Density",0.539013944,NA,"Stem specific density (SSD)","imputed using Bayesian hierarchical probabilistic matrix factorization","Guo et al. (2022)"
"Claoxylon carolinianum","Leaf phosphorous concentration",1.653484012,NA,NA,"imputed using Bayesian hierarchical probabilistic matrix factorization","Guo et al. (2022)"
"Claoxylon carolinianum","Leaf Dry Matter Content",0.298950993,NA,NA,"imputed using Bayesian hierarchical probabilistic matrix factorization","Guo et al. (2022)"
"Claoxylon carolinianum","Seed Dry Mass",57.06896549,NA,NA,"imputed using Bayesian hierarchical probabilistic matrix factorization","Guo et al. (2022)"
"Claoxylon carolinianum","SLA",25.48003381,NA,NA,"imputed using Bayesian hierarchical probabilistic matrix factorization","Guo et al. (2022)"
"Claoxylon carolinianum","Leaf area",5523.317389,NA,"Leaf area (in case of compound leaves: leaflet, petiole and rachis excluded)","imputed using Bayesian hierarchical probabilistic matrix factorization","Guo et al. (2022)"
"Claoxylon sandwicense","Plant height (maximum)",5.008411453,NA,NA,"imputed using Bayesian hierarchical probabilistic matrix factorization","Guo et al. (2022)"
"Claoxylon sandwicense","Leaf nitrogen concentration",27.75236508,NA,NA,"imputed using Bayesian hierarchical probabilistic matrix factorization","Guo et al. (2022)"
"Claoxylon sandwicense","Wood Density",0.543876132,NA,"Stem specific density (SSD)","imputed using Bayesian hierarchical probabilistic matrix factorization","Guo et al. (2022)"
"Claoxylon sandwicense","Leaf phosphorous concentration",1.653484012,NA,NA,"imputed using Bayesian hierarchical probabilistic matrix factorization","Guo et al. (2022)"
"Claoxylon sandwicense","Leaf Dry Matter Content",0.304368707,NA,NA,"imputed using Bayesian hierarchical probabilistic matrix factorization","Guo et al. (2022)"
"Claoxylon sandwicense","Seed Dry Mass",49.39693472,NA,NA,"imputed using Bayesian hierarchical probabilistic matrix factorization","Guo et al. (2022)"
"Claoxylon sandwicense","SLA",24.23259924,NA,NA,"imputed using Bayesian hierarchical probabilistic matrix factorization","Guo et al. (2022)"
"Claoxylon sandwicense","Leaf area",4693.534343,NA,"Leaf area (in case of compound leaves: leaflet, petiole and rachis excluded)","imputed using Bayesian hierarchical probabilistic matrix factorization","Guo et al. (2022)"
"Claoxylon fallax","Plant height (maximum)",5.274727157,NA,NA,"imputed using Bayesian hierarchical probabilistic matrix factorization","Guo et al. (2022)"
"Claoxylon fallax","Leaf nitrogen concentration",29.04022654,NA,NA,"imputed using Bayesian hierarchical probabilistic matrix factorization","Guo et al. (2022)"
"Claoxylon fallax","Wood Density",0.534564359,NA,"Stem specific density (SSD)","imputed using Bayesian hierarchical probabilistic matrix factorization","Guo et al. (2022)"
"Claoxylon fallax","Leaf phosphorous concentration",1.707261316,NA,NA,"imputed using Bayesian hierarchical probabilistic matrix factorization","Guo et al. (2022)"
"Claoxylon fallax","Leaf Dry Matter Content",0.299640146,NA,NA,"imputed using Bayesian hierarchical probabilistic matrix factorization","Guo et al. (2022)"
"Claoxylon fallax","Seed Dry Mass",52.91758304,NA,NA,"imputed using Bayesian hierarchical probabilistic matrix factorization","Guo et al. (2022)"
"Claoxylon fallax","SLA",25.49177051,NA,NA,"imputed using Bayesian hierarchical probabilistic matrix factorization","Guo et al. (2022)"
"Claoxylon fallax","Leaf area",4921.52845,NA,"Leaf area (in case of compound leaves: leaflet, petiole and rachis excluded)","imputed using Bayesian hierarchical probabilistic matrix factorization","Guo et al. (2022)"
"Adelia ricinella","Plant height (maximum)",13.99265093,NA,NA,"imputed using Bayesian hierarchical probabilistic matrix factorization","Guo et al. (2022)"
"Adelia ricinella","Leaf nitrogen concentration",28.88683761,NA,NA,"imputed using Bayesian hierarchical probabilistic matrix factorization","Guo et al. (2022)"
"Adelia ricinella","Wood Density",0.526259562,NA,"Stem specific density (SSD)","imputed using Bayesian hierarchical probabilistic matrix factorization","Guo et al. (2022)"
"Adelia ricinella","Leaf phosphorous concentration",1.377209469,NA,NA,"imputed using Bayesian hierarchical probabilistic matrix factorization","Guo et al. (2022)"
"Adelia ricinella","Leaf Dry Matter Content",0.310527452,NA,NA,"imputed using Bayesian hierarchical probabilistic matrix factorization","Guo et al. (2022)"
"Adelia ricinella","Seed Dry Mass",106.4143018,NA,NA,"imputed using Bayesian hierarchical probabilistic matrix factorization","Guo et al. (2022)"
"Adelia ricinella","SLA",21.57247627,NA,NA,"imputed using Bayesian hierarchical probabilistic matrix factorization","Guo et al. (2022)"
"Adelia ricinella","Leaf area",6988.757961,NA,"Leaf area (in case of compound leaves: leaflet, petiole and rachis excluded)","imputed using Bayesian hierarchical probabilistic matrix factorization","Guo et al. (2022)"
"Melanolepis multiglandulosa","Plant height (maximum)",21.65209879,NA,NA,"imputed using Bayesian hierarchical probabilistic matrix factorization","Guo et al. (2022)"
"Melanolepis multiglandulosa","Leaf nitrogen concentration",33.57363451,NA,NA,"imputed using Bayesian hierarchical probabilistic matrix factorization","Guo et al. (2022)"
"Melanolepis multiglandulosa","Wood Density",0.455326326,NA,"Stem specific density (SSD)","imputed using Bayesian hierarchical probabilistic matrix factorization","Guo et al. (2022)"
"Melanolepis multiglandulosa","Leaf phosphorous concentration",1.816837354,NA,NA,"imputed using Bayesian hierarchical probabilistic matrix factorization","Guo et al. (2022)"
"Melanolepis multiglandulosa","Leaf Dry Matter Content",0.289794913,NA,NA,"imputed using Bayesian hierarchical probabilistic matrix factorization","Guo et al. (2022)"
"Melanolepis multiglandulosa","Seed Dry Mass",61.05259895,NA,NA,"imputed using Bayesian hierarchical probabilistic matrix factorization","Guo et al. (2022)"
"Melanolepis multiglandulosa","SLA",26.07621057,NA,NA,"imputed using Bayesian hierarchical probabilistic matrix factorization","Guo et al. (2022)"
"Melanolepis multiglandulosa","Leaf area",4622.661989,NA,"Leaf area (in case of compound leaves: leaflet, petiole and rachis excluded)","imputed using Bayesian hierarchical probabilistic matrix factorization","Guo et al. (2022)"
"Alchorneopsis floribunda","Plant height (maximum)",28.44461107,NA,NA,"imputed using Bayesian hierarchical probabilistic matrix factorization","Guo et al. (2022)"
"Alchorneopsis floribunda","Leaf nitrogen concentration",44.47708521,NA,NA,"imputed using Bayesian hierarchical probabilistic matrix factorization","Guo et al. (2022)"
"Alchorneopsis floribunda","Wood Density",0.413351928,NA,"Stem specific density (SSD)","imputed using Bayesian hierarchical probabilistic matrix factorization","Guo et al. (2022)"
"Alchorneopsis floribunda","Leaf phosphorous concentration",2.151445631,NA,NA,"imputed using Bayesian hierarchical probabilistic matrix factorization","Guo et al. (2022)"
"Alchorneopsis floribunda","Leaf Dry Matter Content",0.262670184,NA,NA,"imputed using Bayesian hierarchical probabilistic matrix factorization","Guo et al. (2022)"
