"","spp_name","trait_name","value","unit_name","source","id_dfdo","comment","kind"
"83","Fraxinus pennsylvanica","Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or excluded",16.5016501650165,"mm2 mg-1","TRY.Global Leaf Robustness and Physiology Database","87_6584_221102","Ulo Niinemets: LMA for projected area basis -always for broad-leaved species | (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or ecluded","Single"
"84","Acer pensylvanicum","Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or excluded",32.6797385620915,"mm2 mg-1","TRY.Global Leaf Robustness and Physiology Database","87_6584_221134","Ulo Niinemets: LMA for projected area basis -always for broad-leaved species | (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or ecluded","Single"
"85","Acer saccharum","Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or excluded",29.940119760479,"mm2 mg-1","TRY.Global Leaf Robustness and Physiology Database","87_6584_221135","Ulo Niinemets: LMA for projected area basis -always for broad-leaved species | (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or ecluded","Single"
"86","Acer spicatum","Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or excluded",36.7647058823529,"mm2 mg-1","TRY.Global Leaf Robustness and Physiology Database","87_6584_221136","Ulo Niinemets: LMA for projected area basis -always for broad-leaved species | (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or ecluded","Single"
"87","Guarea guidonia","Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or excluded",16.8918918918919,"mm2 mg-1","TRY.Global Leaf Robustness and Physiology Database","87_6584_221152","Ulo Niinemets: LMA for projected area basis -always for broad-leaved species | (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or ecluded","Single"
"88","Guarea guidonia","Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or excluded",20.3252032520325,"mm2 mg-1","TRY.Global Leaf Robustness and Physiology Database","87_6584_221153","Ulo Niinemets: LMA for projected area basis -always for broad-leaved species | (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or ecluded","Single"
"89","Guarea guidonia","Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or excluded",14.6842878120411,"mm2 mg-1","TRY.Global Leaf Robustness and Physiology Database","87_6584_221155","Ulo Niinemets: LMA for projected area basis -always for broad-leaved species | (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or ecluded","Single"
"90","Guarea guidonia","Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or excluded",19.1570881226054,"mm2 mg-1","TRY.Global Leaf Robustness and Physiology Database","87_6584_221156","Ulo Niinemets: LMA for projected area basis -always for broad-leaved species | (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or ecluded","Single"
"91","Guarea guidonia","Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or excluded",16.8067226890756,"mm2 mg-1","TRY.Global Leaf Robustness and Physiology Database","87_6584_221157","Ulo Niinemets: LMA for projected area basis -always for broad-leaved species | (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or ecluded","Single"
"92","Guarea guidonia","Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or excluded",13.1926121372032,"mm2 mg-1","TRY.Global Leaf Robustness and Physiology Database","87_6584_221158","Ulo Niinemets: LMA for projected area basis -always for broad-leaved species | (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or ecluded","Single"
"93","Guarea guidonia","Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or excluded",22.6244343891403,"mm2 mg-1","TRY.Global Leaf Robustness and Physiology Database","87_6584_221159","Ulo Niinemets: LMA for projected area basis -always for broad-leaved species | (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or ecluded","Single"
"94","Guarea guidonia","Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or excluded",22.7790432801822,"mm2 mg-1","TRY.Global Leaf Robustness and Physiology Database","87_6584_221160","Ulo Niinemets: LMA for projected area basis -always for broad-leaved species | (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or ecluded","Single"
"95","Fagus sylvatica","Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or excluded",11.6190476190476,"mm2 mg-1","TRY.Global Leaf Robustness and Physiology Database","87_6584_221197","Ulo Niinemets: LMA for projected area basis -always for broad-leaved species | (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or ecluded","Single"
"96","Fagus sylvatica","Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or excluded",32.8823529411765,"mm2 mg-1","TRY.Global Leaf Robustness and Physiology Database","87_6584_221198","Ulo Niinemets: LMA for projected area basis -always for broad-leaved species | (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or ecluded","Single"
"97","Fagus sylvatica","Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or excluded",12,"mm2 mg-1","TRY.Global Leaf Robustness and Physiology Database","87_6584_221200","Ulo Niinemets: LMA for projected area basis -always for broad-leaved species | (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or ecluded","Single"
