Iteration	Posterior	Likelihood	Prior	interval_times[1]	interval_times[2]	interval_times[3]	interval_times[4]	interval_times[5]	interval_times[6]	interval_times[7]	interval_times[8]	interval_times[9]
Iteration	Posterior	Likelihood	Prior	interval_times[1]	interval_times[2]	interval_times[3]	interval_times[4]	interval_times[5]	interval_times[6]	interval_times[7]	interval_times[8]	interval_times[9]
730	-1574.66	-1625.817	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
730	-1574.66	-1625.817	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
740	-1574.036	-1625.194	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
740	-1574.036	-1625.194	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
750	-1574.339	-1625.497	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
750	-1574.339	-1625.497	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
760	-1575.257	-1626.415	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
760	-1575.257	-1626.415	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
770	-1574.647	-1625.805	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
770	-1574.647	-1625.805	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
780	-1575.176	-1626.333	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
780	-1575.176	-1626.333	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
790	-1574.949	-1626.107	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
790	-1574.949	-1626.107	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
800	-1573.914	-1625.072	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
800	-1573.914	-1625.072	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
810	-1573.949	-1625.107	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
810	-1573.949	-1625.107	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
820	-1573.957	-1625.114	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
820	-1573.957	-1625.114	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
830	-1574.505	-1625.663	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
830	-1574.505	-1625.663	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
840	-1573.989	-1625.147	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
840	-1573.989	-1625.147	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
850	-1574.418	-1625.575	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
850	-1574.418	-1625.575	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
860	-1573.937	-1625.095	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
860	-1573.937	-1625.095	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
870	-1574.398	-1625.555	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
870	-1574.398	-1625.555	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
880	-1573.924	-1625.082	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
880	-1573.924	-1625.082	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
890	-1574.788	-1625.946	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
890	-1574.788	-1625.946	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
900	-1574.354	-1625.511	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
900	-1574.354	-1625.511	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
910	-1573.909	-1625.067	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
910	-1573.909	-1625.067	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
920	-1575.859	-1627.016	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
920	-1575.859	-1627.016	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
930	-1574.867	-1626.025	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
930	-1574.867	-1626.025	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
940	-1574.691	-1625.848	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
940	-1574.691	-1625.848	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
950	-1573.909	-1625.067	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
950	-1573.909	-1625.067	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
960	-1574.678	-1625.835	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
960	-1574.678	-1625.835	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
970	-1574.378	-1625.536	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
970	-1574.378	-1625.536	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
980	-1574.19	-1625.348	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
980	-1574.19	-1625.348	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
990	-1574.752	-1625.91	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
990	-1574.752	-1625.91	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
1000	-1574.198	-1625.356	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
1000	-1574.198	-1625.356	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
1010	-1574.337	-1625.495	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
1010	-1574.337	-1625.495	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
1020	-1573.912	-1625.069	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
