Iteration	Posterior	Likelihood	Prior	interval_times[1]	interval_times[2]	interval_times[3]	interval_times[4]	interval_times[5]	interval_times[6]	interval_times[7]	interval_times[8]	interval_times[9]
2230	-1557.994	-1625.435	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
2240	-1558.449	-1625.891	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
2250	-1557.71	-1625.152	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
2260	-1559.353	-1626.794	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
2270	-1557.703	-1625.144	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
2280	-1557.731	-1625.173	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
2290	-1559.029	-1626.471	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
2300	-1557.698	-1625.139	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
2310	-1557.662	-1625.104	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
2320	-1559.553	-1626.995	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
2330	-1557.649	-1625.09	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
2340	-1557.63	-1625.071	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
2350	-1558.532	-1625.973	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
2360	-1557.632	-1625.073	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
2370	-1557.762	-1625.204	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
2380	-1557.815	-1625.256	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
