Iteration	Replicate_ID	Posterior	Likelihood	Prior	interval_times[1]	interval_times[2]	interval_times[3]	interval_times[4]	interval_times[5]	interval_times[6]	interval_times[7]	interval_times[8]	interval_times[9]
0	0	Posterior	Likelihood	Prior	interval_times[1]	interval_times[2]	interval_times[3]	interval_times[4]	interval_times[5]	interval_times[6]	interval_times[7]	interval_times[8]	interval_times[9]
1	1	Posterior	Likelihood	Prior	interval_times[1]	interval_times[2]	interval_times[3]	interval_times[4]	interval_times[5]	interval_times[6]	interval_times[7]	interval_times[8]	interval_times[9]
198	0	-1574.678	-1625.836	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
199	1	-1557.961	-1625.402	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
200	0	-1574.678	-1625.836	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
201	1	-1557.961	-1625.402	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
202	0	-1573.983	-1625.141	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
203	1	-1558.276	-1625.718	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
204	0	-1573.983	-1625.141	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
205	1	-1558.276	-1625.718	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
206	0	-1574.536	-1625.693	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
207	1	-1557.665	-1625.106	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
208	0	-1574.536	-1625.693	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
209	1	-1557.665	-1625.106	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
210	0	-1575.699	-1626.856	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
211	1	-1558.043	-1625.484	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
212	0	-1575.699	-1626.856	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
213	1	-1558.043	-1625.484	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
214	0	-1573.91	-1625.067	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
215	1	-1557.702	-1625.144	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
216	0	-1573.91	-1625.067	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
217	1	-1557.702	-1625.144	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
218	0	-1573.918	-1625.076	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
