Iteration	Replicate_ID	Posterior	Likelihood	Prior	mu[1]	mu[2]	mu[3]	mu[4]	mu[5]	mu[6]	mu[7]	mu[8]	mu[9]	mu[10]
169	1	-1557.645	-1625.086	67.44141	0.966816	0.97508	0.974233	0.970148	0.973336	0.974263	0.971606	0.971121	0.971331	0.97173
170	0	-1574.418	-1625.575	51.15772	0.982656	0.983747	0.984494	0.985259	0.988188	0.985635	0.982711	0.983574	0.985385	0.984981
171	1	-1558.715	-1626.156	67.44141	0.949505	0.950409	0.946425	0.945952	0.954037	0.954428	0.9536	0.953806	0.95694	0.95433
172	0	-1573.937	-1625.095	51.15772	0.96627	0.969143	0.966268	0.967001	0.968781	0.969857	0.96946	0.970214	0.971065	0.968556
173	1	-1557.628	-1625.069	67.44141	0.97031	0.969825	0.970223	0.971148	0.971358	0.967286	0.964648	0.972893	0.97609	0.975242
174	0	-1574.398	-1625.555	51.15772	0.956156	0.956899	0.957962	0.955487	0.956212	0.957051	0.959897	0.959504	0.956657	0.958419
175	1	-1557.629	-1625.07	67.44141	0.970461	0.971385	0.9709	0.966829	0.967226	0.975493	0.975705	0.974858	0.972199	0.975393
176	0	-1573.924	-1625.082	51.15772	0.967111	0.966715	0.967564	0.969346	0.966841	0.963973	0.964722	0.96759	0.968665	0.9694
177	1	-1557.631	-1625.072	67.44141	0.968059	0.967575	0.967972	0.968894	0.969105	0.965042	0.96241	0.970636	0.973825	0.972979
178	0	-1574.788	-1625.946	51.15772	0.951558	0.952297	0.953355	0.950892	0.951613	0.952449	0.955281	0.954889	0.952057	0.95381
179	1	-1557.752	-1625.194	67.44141	0.976041	0.976253	0.976654	0.97399	0.973503	0.976702	0.977632	0.976783	0.972688	0.981002
180	0	-1574.354	-1625.511	51.15772	0.9818	0.982662	0.980122	0.979721	0.980482	0.982288	0.983379	0.980462	0.981206	0.984123
181	1	-1558.216	-1625.657	67.44141	0.95482	0.957957	0.955345	0.954515	0.954722	0.962882	0.963278	0.959239	0.95876	0.959673
182	0	-1573.909	-1625.067	51.15772	0.969432	0.970509	0.971263	0.972	0.969489	0.972371	0.973225	0.970338	0.96994	0.971726
183	1	-1557.749	-1625.19	67.44141	0.962783	0.962302	0.962697	0.963614	0.963823	0.959782	0.957165	0.965346	0.968518	0.967676
184	0	-1575.859	-1627.016	51.15772	0.94262	0.943448	0.94101	0.940625	0.941356	0.943089	0.944136	0.941336	0.94205	0.944851
185	1	-1557.92	-1625.361	67.44141	0.959147	0.959355	0.959749	0.957131	0.956653	0.959796	0.96071	0.959876	0.955852	0.964022
186	0	-1574.867	-1626.025	51.15772	0.950764	0.95182	0.95256	0.953283	0.950819	0.953646	0.954484	0.951652	0.951262	0.953014
187	1	-1557.711	-1625.153	67.44141	0.974864	0.975793	0.971702	0.971216	0.979517	0.979919	0.979068	0.97928	0.982498	0.979819
188	0	-1574.691	-1625.848	51.15772	0.952594	0.955426	0.956151	0.953315	0.954374	0.956131	0.956874	0.956482	0.954011	0.954848
189	1	-1557.676	-1625.118	67.44141	0.96517	0.964331	0.972574	0.975769	0.971678	0.969029	0.969952	0.970162	0.969677	0.970075
